id,dt(s),t(yr),rFeC_pb,mu0,m_l,m_q,kappa,kfe_p,kldoc_p,pge,phi,rCLig,PB(1),PB(2),PB(3),LDOC(1),LDOC(2),LDOC(3),Fe(1),Fe(2),Fe(3),PO4(1),PO4(2),PO4(3),NO3(1),NO3(2),NO3(3),Lig(1),Lig(2),Lig(3),DIC(1),DIC(2),DIC(3),ALK(1),ALK(2),ALK(3),OCPCO2(1),OCPCO2(2),OCPCO2(3),ATPCO2,Limit
100,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-07,1E-07,0.25,0.001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
101,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-07,1E-07,0.25,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
102,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-07,1E-07,0.25,0.1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
103,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-07,1E-06,0.25,0.001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
104,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-07,1E-06,0.25,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
105,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-07,1E-06,0.25,0.1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
106,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-07,1E-05,0.25,0.001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
107,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-07,1E-05,0.25,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
108,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-07,1E-05,0.25,0.1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
109,86400,3.17097919837646E-06,4E-05,1.1574074074074E-07,1.15740740740741E-06,1E-12,0,1.0245E-06,1E-07,0.25,0.001,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444
