      t(yr)     Limits    THETA      THETA      THETA     SALT       SALT       SALT      DIC        DIC        DIC        ALK        ALK        ALK           PO4        PO4        PO4       NO3        NO3        NO3         FET        FET        FET        LIG        LIG        LIG        EXPORT     EXPORT     EXPORT     P*       OCPCO2     OCPCO2     OCPCO2     ATPCO2       LDOC       LDOC       LDOC       PB         PB         PB      
          0               2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2200.00000 2100.00000 2400.00000 2350.00000 2350.00000 2400.00000    2.00000    0.00000    2.50000   25.00000    0.00000   35.00000    0.00000    0.00000    0.00000    2.00000    2.00000    2.00000    0.00000    0.00000    0.00000    0.28571  237.33609  313.93736  995.96146  280.00000    2.00000    2.00000    2.00000  100.00000  100.00000  100.00000
          0        444    2.00046   20.00457    4.00091   34.00776   35.50811   34.75793 2263.37567 2525.05879 4594.46980 2017.10289 2015.73175 2069.59031   21.68956   19.61386   23.19801  340.12137  313.71553  366.16757 ********** ********** ********** ********** ********** **********   18.15774   54.24103  -72.39876    0.08405 4716.95965 ********** **********  280.06393 ********** ********** **********   58.14978   58.14978   58.14980
          0        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 1635.90868 1970.21497 8888.08138 1363.96436 1359.57148 1421.16469   60.29576   57.93597   63.71490  957.99141  926.66486 1014.44010 ********** ********** ********** ********** ********** **********   18.28067   54.83863  -73.11930    0.05603 5512.18281 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          1        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  998.81340 1307.45615 **********  711.82305  704.08947  773.34738   99.06349   96.26008  104.22804 1578.42958 1539.65727 1662.65140 ********** ********** ********** ********** ********** **********   18.29053   54.87015  -73.16068    0.05078 5934.22037 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          1        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  451.48834  711.68805 **********   60.06349   48.71398  125.52839  137.98554  134.59975  144.74068 2201.32312 2152.90900 2310.85464 ********** ********** ********** ********** ********** **********   18.29895   54.89594  -73.19489    0.04746 6101.58995 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          2        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  358.09433  558.17875 ********** -591.35187 -606.55006 -522.29208  177.04737  172.95810  185.25282 2826.44075 2766.46930 2959.04989 ********** ********** ********** ********** ********** **********   18.29892   54.89608  -73.19499    0.04486 6139.93894 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          2        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  380.60999  557.80081 ********** ********** ********** **********  216.23802  211.34029  225.76448 3453.60840 3380.41997 3607.23723 ********** ********** ********** ********** ********** **********   18.30384   54.91096  -73.21480    0.04262 6526.01063 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          3        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  403.12684  557.89377 ********** ********** ********** **********  255.54485  249.74798  266.27564 4082.62448 3994.78713 4255.41675 ********** ********** ********** ********** ********** **********   18.30213   54.90593  -73.20806    0.04063 6912.09610 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          3        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  425.63470  557.98443 ********** ********** ********** **********  294.95886  288.18529  306.78632 4713.34609 4609.63597 4903.58857 ********** ********** ********** ********** ********** **********   18.30612   54.91794  -73.22406    0.03882 7298.02628 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          4        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  448.14176  558.07907 ********** ********** ********** **********  334.46925  326.65301  347.29654 5345.60127 5224.97875 5551.75279 ********** ********** ********** ********** ********** **********   18.30384   54.91113  -73.21496    0.03715 7683.94246 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          4        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  470.63961  558.17056 ********** ********** ********** **********  374.06877  365.15449  387.80628 5979.27456 5840.86859 6199.90954 ********** ********** ********** ********** ********** **********   18.30744   54.92197  -73.22941    0.03560 8069.70066 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          5        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  493.13656  558.26574 ********** ********** ********** **********  413.74818  403.68985  428.31557 6614.21919 6457.30709 6848.05895 ********** ********** ********** ********** ********** **********   18.30489   54.91435  -73.21923    0.03416 8455.44330 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          5        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  515.62424  558.35761 ********** ********** ********** **********  453.50169  442.26187  468.82442 7250.34280 7074.33792 7496.20114 ********** ********** ********** ********** ********** **********   18.30830   54.92460  -73.23290    0.03281 8841.02699 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          6        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  538.11098  558.45305 ********** ********** ********** **********  493.32140  480.87012  509.33282 7887.51972 7691.95423 8144.33626 ********** ********** ********** ********** ********** **********   18.30561   54.91653  -73.22214    0.03154 9226.59452 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          6        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  560.58843  558.54512 ********** ********** ********** **********  533.20271  519.51689  549.84078 8525.67686 8310.19212 8792.46444 ********** ********** ********** ********** ********** **********   18.30891   54.92645  -73.23535    0.03035 9612.00268 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          7        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  583.06492  558.64070 ********** ********** ********** **********  573.13883  558.20135  590.34833 9164.70611 8929.03804 9440.58583 ********** ********** ********** ********** ********** **********   18.30612   54.91812  -73.22424    0.02923 9997.39439 ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          7        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  605.53210  558.73287 ********** ********** ********** **********  613.12618  596.92539  630.85546 9804.55044 9548.52209 ********** ********** ********** ********** ********** ********** **********   18.30935   54.92782  -73.23718    0.02817 ********** ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          8        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  627.99832  558.82853 ********** ********** ********** **********  653.15888  635.68787  671.36219 ********** ********** ********** ********** ********** ********** ********** ********** **********   18.30652   54.91932  -73.22584    0.02717 ********** ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          8        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  650.45523  558.92074 ********** ********** ********** **********  693.23419  674.49037  711.86852 ********** ********** ********** ********** ********** ********** ********** ********** **********   18.30970   54.92888  -73.23858    0.02623 ********** ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          9        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  672.91117  559.01644 ********** ********** ********** **********  733.34699  713.33146  752.37446 ********** ********** ********** ********** ********** ********** ********** ********** **********   18.30682   54.92026  -73.22708    0.02533 ********** ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
          9        444    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000  695.35779  559.10868 ********** ********** ********** **********  773.49523  752.21253  792.88003 ********** ********** ********** ********** ********** ********** ********** ********** **********   18.30997   54.92972  -73.23970    0.02449 ********** ********** **********  280.00000 ********** ********** **********   57.86037   57.86037   57.86037
